sales_date,year,quarter,month,year_month,month_name,day,day_of_week,day_name
2018-01-10,2018,1,1,2018-01,January,10,4,Wednesday
2018-01-20,2018,1,1,2018-01,January,20,7,Saturday
2018-02-03,2018,1,2,2018-02,February,3,7,Saturday
2018-02-28,2018,1,2,2018-02,February,28,4,Wednesday
2018-01-28,2018,1,1,2018-01,January,28,1,Sunday
2018-02-14,2018,1,2,2018-02,February,14,4,Wednesday
2018-03-19,2018,1,3,2018-03,March,19,2,Monday
2018-04-08,2018,2,4,2018-04,April,8,1,Sunday
2018-04-14,2018,2,4,2018-04,April,14,7,Saturday
2018-03-01,2018,1,3,2018-03,March,1,5,Thursday
2018-03-27,2018,1,3,2018-03,March,27,3,Tuesday
2018-04-03,2018,2,4,2018-04,April,3,3,Tuesday
2018-04-12,2018,2,4,2018-04,April,12,5,Thursday
2018-01-16,2018,1,1,2018-01,January,16,3,Tuesday
2018-01-12,2018,1,1,2018-01,January,12,6,Friday
2018-01-30,2018,1,1,2018-01,January,30,3,Tuesday
2018-03-12,2018,1,3,2018-03,March,12,2,Monday
2018-04-02,2018,2,4,2018-04,April,2,2,Monday
2018-04-23,2018,2,4,2018-04,April,23,2,Monday
2018-05-07,2018,2,5,2018-05,May,7,2,Monday
2018-01-17,2018,1,1,2018-01,January,17,4,Wednesday
2018-02-10,2018,1,2,2018-02,February,10,7,Saturday
2018-01-27,2018,1,1,2018-01,January,27,7,Saturday
2018-02-05,2018,1,2,2018-02,February,5,2,Monday
2018-03-03,2018,1,3,2018-03,March,3,7,Saturday
2018-03-06,2018,1,3,2018-03,March,6,3,Tuesday
2018-04-09,2018,2,4,2018-04,April,9,2,Monday
2018-02-11,2018,1,2,2018-02,February,11,1,Sunday
2018-03-15,2018,1,3,2018-03,March,15,5,Thursday
2018-03-17,2018,1,3,2018-03,March,17,7,Saturday
2018-04-04,2018,2,4,2018-04,April,4,4,Wednesday
2018-05-06,2018,2,5,2018-05,May,6,1,Sunday
2018-03-07,2018,1,3,2018-03,March,7,4,Wednesday
2018-03-10,2018,1,3,2018-03,March,10,7,Saturday
2018-01-04,2018,1,1,2018-01,January,4,5,Thursday
2018-01-29,2018,1,1,2018-01,January,29,2,Monday
2018-02-22,2018,1,2,2018-02,February,22,5,Thursday
2018-03-26,2018,1,3,2018-03,March,26,2,Monday
2018-04-26,2018,2,4,2018-04,April,26,5,Thursday
2018-03-24,2018,1,3,2018-03,March,24,7,Saturday
2018-01-19,2018,1,1,2018-01,January,19,6,Friday
2018-02-21,2018,1,2,2018-02,February,21,4,Wednesday
2018-03-22,2018,1,3,2018-03,March,22,5,Thursday
2018-03-28,2018,1,3,2018-03,March,28,4,Wednesday
2018-01-22,2018,1,1,2018-01,January,22,2,Monday
2018-04-21,2018,2,4,2018-04,April,21,7,Saturday
2018-04-27,2018,2,4,2018-04,April,27,6,Friday
2018-04-15,2018,2,4,2018-04,April,15,1,Sunday
2018-03-18,2018,1,3,2018-03,March,18,1,Sunday
2018-03-23,2018,1,3,2018-03,March,23,6,Friday
2018-02-07,2018,1,2,2018-02,February,7,4,Wednesday
2018-03-02,2018,1,3,2018-03,March,2,6,Friday
2018-04-28,2018,2,4,2018-04,April,28,7,Saturday
2018-04-18,2018,2,4,2018-04,April,18,4,Wednesday
2018-01-21,2018,1,1,2018-01,January,21,1,Sunday
2018-03-05,2018,1,3,2018-03,March,5,2,Monday
2018-03-30,2018,1,3,2018-03,March,30,6,Friday
2018-04-17,2018,2,4,2018-04,April,17,3,Tuesday
2018-02-12,2018,1,2,2018-02,February,12,2,Monday
2018-03-20,2018,1,3,2018-03,March,20,3,Tuesday
2018-03-25,2018,1,3,2018-03,March,25,1,Sunday
2018-01-26,2018,1,1,2018-01,January,26,6,Friday
2018-01-31,2018,1,1,2018-01,January,31,4,Wednesday
2018-02-13,2018,1,2,2018-02,February,13,3,Tuesday
2018-02-25,2018,1,2,2018-02,February,25,1,Sunday
2018-02-19,2018,1,2,2018-02,February,19,2,Monday
2018-03-21,2018,1,3,2018-03,March,21,4,Wednesday
2018-04-29,2018,2,4,2018-04,April,29,1,Sunday
2018-03-08,2018,1,3,2018-03,March,8,5,Thursday
2018-04-10,2018,2,4,2018-04,April,10,3,Tuesday
2018-04-13,2018,2,4,2018-04,April,13,6,Friday
2018-05-09,2018,2,5,2018-05,May,9,4,Wednesday
2018-01-02,2018,1,1,2018-01,January,2,3,Tuesday
2018-02-09,2018,1,2,2018-02,February,9,6,Friday
2018-02-17,2018,1,2,2018-02,February,17,7,Saturday
2018-02-24,2018,1,2,2018-02,February,24,7,Saturday
2018-01-08,2018,1,1,2018-01,January,8,2,Monday
2018-02-04,2018,1,2,2018-02,February,4,1,Sunday
2018-03-29,2018,1,3,2018-03,March,29,5,Thursday
2018-02-08,2018,1,2,2018-02,February,8,5,Thursday
2018-04-07,2018,2,4,2018-04,April,7,7,Saturday
2018-02-18,2018,1,2,2018-02,February,18,1,Sunday
2018-04-25,2018,2,4,2018-04,April,25,4,Wednesday
2018-01-03,2018,1,1,2018-01,January,3,4,Wednesday
2018-01-07,2018,1,1,2018-01,January,7,1,Sunday
2018-04-20,2018,2,4,2018-04,April,20,6,Friday
2018-05-01,2018,2,5,2018-05,May,1,3,Tuesday
2018-01-13,2018,1,1,2018-01,January,13,7,Saturday
2018-01-25,2018,1,1,2018-01,January,25,5,Thursday
2018-02-23,2018,1,2,2018-02,February,23,6,Friday
2018-03-04,2018,1,3,2018-03,March,4,1,Sunday
2018-03-16,2018,1,3,2018-03,March,16,6,Friday
2018-05-04,2018,2,5,2018-05,May,4,6,Friday
2018-01-05,2018,1,1,2018-01,January,5,6,Friday
2018-01-15,2018,1,1,2018-01,January,15,2,Monday
2018-01-01,2018,1,1,2018-01,January,1,2,Monday
2018-01-18,2018,1,1,2018-01,January,18,5,Thursday
2018-02-15,2018,1,2,2018-02,February,15,5,Thursday
2018-02-20,2018,1,2,2018-02,February,20,3,Tuesday
2018-03-14,2018,1,3,2018-03,March,14,4,Wednesday
2018-03-31,2018,1,3,2018-03,March,31,7,Saturday
2018-01-11,2018,1,1,2018-01,January,11,5,Thursday
2018-01-24,2018,1,1,2018-01,January,24,4,Wednesday
2018-05-08,2018,2,5,2018-05,May,8,3,Tuesday
2018-02-01,2018,1,2,2018-02,February,1,5,Thursday
2018-04-05,2018,2,4,2018-04,April,5,5,Thursday
2018-04-11,2018,2,4,2018-04,April,11,4,Wednesday
2018-04-24,2018,2,4,2018-04,April,24,3,Tuesday
2018-01-23,2018,1,1,2018-01,January,23,3,Tuesday
2018-02-02,2018,1,2,2018-02,February,2,6,Friday
2018-05-02,2018,2,5,2018-05,May,2,4,Wednesday
2018-05-03,2018,2,5,2018-05,May,3,5,Thursday
2018-01-09,2018,1,1,2018-01,January,9,3,Tuesday
2018-04-06,2018,2,4,2018-04,April,6,6,Friday
2018-01-06,2018,1,1,2018-01,January,6,7,Saturday
2018-01-14,2018,1,1,2018-01,January,14,1,Sunday
2018-02-06,2018,1,2,2018-02,February,6,3,Tuesday
2018-04-16,2018,2,4,2018-04,April,16,2,Monday
2018-04-22,2018,2,4,2018-04,April,22,1,Sunday
2018-03-09,2018,1,3,2018-03,March,9,6,Friday
2018-02-26,2018,1,2,2018-02,February,26,2,Monday
2018-03-13,2018,1,3,2018-03,March,13,3,Tuesday
2018-04-01,2018,2,4,2018-04,April,1,1,Sunday
2018-05-05,2018,2,5,2018-05,May,5,7,Saturday
