ProductID,ProductName,Price,CategoryID,CategoryName,Class,Resistant,IsAllergic,VitalityDays
374,Jagermeister,49.3846,5,Beverages,Low,Durable,False,0
144,"Placemat - Scallop, White",95.7865,5,Beverages,Medium,Durable,False,0
355,Olives - Stuffed,59.1687,5,Beverages,Low,Durable,False,12
280,Onion Powder,61.8352,5,Beverages,Medium,Durable,False,0
214,French Pastry - Mini Chocolate,61.2121,5,Beverages,Low,Durable,Unknown,0
171,Gloves - Goldtouch Disposable,21.6794,5,Beverages,High,Durable,False,0
219,Assorted Desserts,58.9787,5,Beverages,Low,Durable,False,0
402,Butter - Unsalted,76.3275,5,Beverages,High,Durable,Unknown,6
172,Sherry - Dry,16.0013,5,Beverages,High,Durable,Unknown,72
166,Tray - 16in Rnd Blk,23.2843,5,Beverages,High,Durable,False,0
187,"Pepper - Black, Whole",41.3835,3,Cereals,Medium,Durable,False,31
340,Veal - Sweetbread,28.2349,3,Cereals,High,Durable,True,0
394,Rum - Mount Gay Eclipes,50.1484,3,Cereals,High,Durable,True,76
24,"Beer - Alexander Kieths, Pale Ale",89.037,3,Cereals,Medium,Durable,True,65
427,Wine - Vineland Estate Semi - Dry,46.3252,3,Cereals,High,Durable,False,0
20,Chocolate - Feathers,85.9011,3,Cereals,Low,Durable,True,0
297,Hinge W Undercut,81.9003,3,Cereals,Low,Durable,True,120
264,Juice - V8 Splash,49.4497,3,Cereals,High,Durable,True,0
131,Anchovy Paste - 56 G Tube,40.8967,3,Cereals,Medium,Durable,False,0
331,Cookies Cereal Nut,67.3505,3,Cereals,High,Durable,Unknown,80
32,Lettuce - Treviso,96.4127,3,Cereals,High,Durable,True,0
180,Chocolate - Dark,30.8932,3,Cereals,Low,Durable,True,27
433,"Beans - Kidney, Red Dry",39.8762,3,Cereals,Low,Durable,False,11
337,Bread - Rye,83.5373,3,Cereals,Low,Durable,True,0
228,Sauce - Hollandaise,77.8083,3,Cereals,High,Durable,Unknown,93
1,Flour - Whole Wheat,74.2988,3,Cereals,Medium,Durable,Unknown,0
413,Ice Cream Bar - Oreo Cone,95.4065,3,Cereals,High,Durable,False,5
52,"Turnip - White, Organic",55.6059,1,Confections,Low,Durable,False,0
279,Beef - Texas Style Burger,91.1828,1,Confections,Low,Durable,True,0
141,Tea - Herbal Sweet Dreams,10.964,1,Confections,Low,Durable,True,37
343,Otomegusa Dashi Konbu,51.2061,1,Confections,High,Durable,False,0
156,Sprouts - Alfalfa,71.2264,1,Confections,High,Durable,False,0
388,Table Cloth 120 Round White,13.5389,1,Confections,Medium,Durable,True,0
307,Foam Cup 6 Oz,50.2256,1,Confections,High,Durable,Unknown,0
275,Corn Meal,50.146,1,Confections,Medium,Durable,True,88
451,Soup - Campbells Tomato Ravioli,93.5384,1,Confections,Low,Durable,False,0
351,Hot Chocolate - Individual,96.0823,1,Confections,High,Durable,Unknown,0
377,"Wine - Red, Cooking",75.0785,1,Confections,Medium,Durable,False,7
109,Muffin - Zero Transfat,49.3791,1,Confections,Medium,Durable,False,0
105,Ecolab - Mikroklene 4/4 L,68.8789,1,Confections,Medium,Durable,True,0
400,Carbonated Water - Blackcherry,18.1495,1,Confections,High,Durable,True,0
321,"Potatoes - Instant, Mashed",10.4007,1,Confections,Medium,Durable,Unknown,0
83,Lamb - Ground,50.8837,1,Confections,High,Durable,Unknown,116
198,Lime Cordial - Roses,35.2187,1,Confections,Low,Durable,False,60
170,Initation Crab Meat,20.6553,1,Confections,Medium,Durable,False,0
404,Pants Custom Dry Clean,65.028,1,Confections,Medium,Durable,False,0
250,"Soup - Campbells, Beef Barley",64.4951,1,Confections,Low,Durable,False,0
84,Peas - Frozen,90.3019,1,Confections,Medium,Durable,False,0
306,"Pepper - White, Ground",43.5953,4,Dairy,Low,Durable,True,117
345,Bread - Calabrese Baguette,98.5978,4,Dairy,Medium,Durable,False,67
12,Ezy Change Mophandle,49.3356,4,Dairy,Medium,Durable,True,0
283,Bread Fig And Almond,1.1882,4,Dairy,Low,Durable,False,0
101,"Soup - Campbells, Lentil",83.011,4,Dairy,Medium,Durable,Unknown,99
72,Bar - Granola Trail Mix Fruit Nut,62.2603,4,Dairy,High,Durable,False,0
188,Cup - Translucent 7 Oz Clear,78.1768,8,Grain,High,Durable,False,91
435,"Salsify, Organic",32.6109,8,Grain,High,Durable,True,0
61,Sardines,62.546,8,Grain,Low,Durable,False,90
371,Creme De Banane - Marie,82.4022,8,Grain,High,Durable,Unknown,0
49,Bacardi Breezer - Tropical,61.4317,8,Grain,High,Durable,False,0
173,Rosemary - Dry,44.544,8,Grain,Low,Durable,False,0
75,Chef Hat 20cm,4.18,8,Grain,High,Durable,Unknown,116
444,Cheese - Cambozola,44.0886,8,Grain,Low,Durable,Unknown,56
93,Bandage - Fexible 1x3,8.119,8,Grain,Low,Durable,False,11
217,Bread - Multigrain,96.52,8,Grain,Medium,Durable,True,0
146,Bananas,75.2486,7,Meat,High,Durable,False,0
362,Cumin - Whole,53.3476,7,Meat,Medium,Durable,Unknown,0
260,"Yogurt - Blueberry, 175 Gr",26.8886,7,Meat,Low,Durable,False,31
29,Spinach - Baby,33.5883,7,Meat,Low,Durable,True,50
44,"Wine - White, Colubia Cresh",48.5981,7,Meat,High,Durable,True,0
85,Cheese - Parmesan Cubes,86.8857,7,Meat,High,Durable,Unknown,0
138,"Rum - Coconut, Malibu",52.6367,7,Meat,Low,Durable,Unknown,0
192,"Wine - Magnotta, Merlot Sr Vqa",29.5923,7,Meat,Medium,Durable,Unknown,0
21,Kiwi,46.7252,7,Meat,High,Durable,Unknown,0
58,Dc Hikiage Hira Huba,20.1009,7,Meat,Low,Durable,Unknown,91
129,Chicken - Soup Base,67.2329,7,Meat,High,Durable,True,0
287,Bread - Italian Roll With Herbs,57.709,7,Meat,Medium,Durable,True,0
14,Beef - Top Sirloin,3.3324,7,Meat,Medium,Durable,True,0
414,Sauerkraut,83.0585,7,Meat,Low,Durable,Unknown,87
74,Carbonated Water - Cherry,13.6241,7,Meat,Medium,Durable,False,26
159,Eggplant - Asian,92.1053,7,Meat,Medium,Durable,True,0
262,Bagel - Plain,36.4605,7,Meat,Medium,Durable,Unknown,41
387,Fondant - Icing,41.6386,9,Poultry,High,Durable,False,100
11,Garbage Bags - Clear,6.2949,9,Poultry,Low,Durable,True,67
204,Scallop - St. Jaques,77.809,9,Poultry,Medium,Durable,True,5
7,Table Cloth - 53x69 Colour,31.837,9,Poultry,Medium,Durable,False,0
150,Langers - Ruby Red Grapfruit,40.6552,9,Poultry,High,Durable,False,0
277,Sea Bass - Whole,55.4964,9,Poultry,Medium,Durable,Unknown,118
100,"Pork - Loin, Bone - In",69.6501,9,Poultry,Low,Durable,Unknown,7
268,Vanilla Beans,97.8435,9,Poultry,Low,Durable,False,0
378,Bread Foccacia Whole,90.7877,9,Poultry,High,Durable,False,0
406,"Shrimp - Baby, Warm Water",89.7999,9,Poultry,High,Durable,False,0
145,Wine - Chardonnay South,34.4139,9,Poultry,Low,Durable,Unknown,27
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Poultry,Medium,Durable,Unknown,0
110,Black Currants,40.9417,9,Poultry,High,Durable,Unknown,48
261,Chinese Foods - Chicken,22.0901,9,Poultry,High,Durable,True,0
